timestamp,dx,dy,label
1726057450.9932437,33,42,0
1726057451.0653048,44,40,0
1726057451.1365252,47,38,0
1726057451.2150877,42,36,0
1726057451.3002083,30,35,0
1726057451.3880348,11,32,0
1726057451.4719627,-12,30,0
1726057451.5630813,-31,28,0
1726057451.642594,-48,28,0
1726057451.7287326,-58,29,0
1726057451.8053138,-59,30,0
1726057451.8869572,-51,33,0
1726057451.95826,-33,34,0
1726057452.0288427,-9,35,0
1726057452.0981734,12,35,0
1726057452.1681356,35,40,0
1726057452.2399335,55,43,0
1726057452.3176377,62,44,0
1726057452.8489509,-7,40,1
1726057452.94406,-14,30,0
1726057453.0252154,-20,22,0
1726057453.1045475,-22,19,0
1726057453.1834571,-20,17,0
1726057453.2742584,-15,16,0
1726057453.36289,0,18,0
1726057453.4439204,20,23,0
1726057453.5232203,37,24,0
1726057453.6203258,51,33,0
1726057454.903715,-20,19,1
1726057455.0051236,1,23,0
1726057455.0953083,36,29,0
1726057455.179535,50,33,0
1726057455.2711892,62,36,0
1726057455.3607235,66,37,0
1726057455.4511714,59,40,0
1726057455.5290604,35,39,0
1726057455.6201165,4,40,0
1726057455.709154,-27,39,0
1726057455.9644115,-45,44,0
1726057456.059674,-20,45,0
1726057456.3385744,67,50,1
1726057456.419253,69,41,0
1726057456.5434108,59,39,0
1726057456.6217158,44,37,0
1726057456.7263744,30,34,0
1726057456.809661,20,35,0
1726057456.929731,-4,34,0
1726057457.0215642,-30,35,0
1726057457.1145089,-52,38,0
1726057457.2050474,-53,43,0
1726057457.5632858,59,46,1
1726057457.7537787,65,43,0
1726057457.848816,63,41,0
1726057457.9364307,54,39,0
1726057458.030317,40,37,0
1726057458.120943,13,36,0
1726057458.2031808,-38,42,1
1726057458.589609,49,51,1
1726057458.6382115,45,47,0
1726057458.7181838,43,46,0
1726057459.146481,-32,43,1
1726057459.23524,-46,42,0
1726057459.32503,-54,40,0
1726057459.416505,-58,39,0
1726057459.5746298,-64,48,0
1726057459.9838154,12,44,1
1726057460.065982,10,42,0
1726057460.1630096,7,39,0
1726057460.25785,3,36,0
1726057460.343707,-9,31,0
1726057460.4261243,-13,30,0
1726057460.5023768,-13,26,0
