timestamp,dx,dy
1726047027.7328897,-16,70
1726047027.7655637,-22,70
1726047027.800138,-29,72
1726047027.832454,-36,73
1726047027.862689,-40,71
1726047027.89567,-44,71
1726047027.926038,-49,71
1726047027.9598346,-53,71
1726047028.0077333,-56,70
1726047028.0364313,-58,67
1726047028.0709429,-65,70
1726047028.1049762,-68,70
1726047028.1353226,-74,71
1726047028.1679273,-80,71
1726047028.1984956,-86,72
1726047028.2976108,-106,76
1726047028.327984,-109,76
1726047028.4221835,-122,77
1726047028.600978,-119,69
1726047028.6289217,-115,66
1726047028.661391,-110,65
1726047028.6946352,-105,63
1726047028.758399,-89,60
1726047028.7906013,-81,58
1726047028.8210921,-76,57
1726047028.8512816,-67,56
1726047028.8853157,-61,56
1726047028.9186254,-52,53
1726047028.9829614,-41,56
1726047029.0148962,-33,57
1726047029.0950253,-18,56
1726047029.1262498,-11,57
1726047029.1879566,2,58
1726047029.220054,8,56
1726047029.255437,13,57
1726047029.2872941,18,56
1726047029.317677,23,55
1726047029.3808692,32,57
