1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]","[-6, 36, 252]"
"[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]","[-6, 36, 252]","[-6, 36, 0]"
"[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]","[-6, 36, 252]","[-6, 36, 0]","[1, 35, 157]"
"[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]","[-6, 36, 252]","[-6, 36, 0]","[1, 35, 157]","[1, 35, 0]"
"[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]","[-6, 36, 252]","[-6, 36, 0]","[1, 35, 157]","[1, 35, 0]","[7, 33, 210]"
"[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]","[-6, 36, 252]","[-6, 36, 0]","[1, 35, 157]","[1, 35, 0]","[7, 33, 210]","[7, 33, 0]"
"[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]","[-6, 36, 252]","[-6, 36, 0]","[1, 35, 157]","[1, 35, 0]","[7, 33, 210]","[7, 33, 0]","[11, 31, 148]"
"[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]","[-6, 36, 252]","[-6, 36, 0]","[1, 35, 157]","[1, 35, 0]","[7, 33, 210]","[7, 33, 0]","[11, 31, 148]","[11, 31, 0]"
"[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]","[-6, 36, 252]","[-6, 36, 0]","[1, 35, 157]","[1, 35, 0]","[7, 33, 210]","[7, 33, 0]","[11, 31, 148]","[11, 31, 0]","[15, 30, 129]"
"[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]","[-6, 36, 252]","[-6, 36, 0]","[1, 35, 157]","[1, 35, 0]","[7, 33, 210]","[7, 33, 0]","[11, 31, 148]","[11, 31, 0]","[15, 30, 129]","[20, 30, 161]"
"[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]","[-6, 36, 252]","[-6, 36, 0]","[1, 35, 157]","[1, 35, 0]","[7, 33, 210]","[7, 33, 0]","[11, 31, 148]","[11, 31, 0]","[15, 30, 129]","[20, 30, 161]","[20, 30, 0]"
"[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]","[-6, 36, 252]","[-6, 36, 0]","[1, 35, 157]","[1, 35, 0]","[7, 33, 210]","[7, 33, 0]","[11, 31, 148]","[11, 31, 0]","[15, 30, 129]","[20, 30, 161]","[20, 30, 0]","[25, 29, 108]"
